name,type,height,classify,gender,weight,ability,description,evolution,img
 골뱃,독;비행,1.6,박쥐,b,55,정신력,사람이나 포켓몬의 혈액을 매우 좋아한다. 목덜미의 혈관을 노리며 밤하늘을 날아다닌다.,41;주뱃;42;골뱃;169;크로뱃,https://data1.pokemonkorea.co.kr/newdata/pokedex/full/004201.png
 뚜벅쵸,풀;독,0.5,잡초,b,5.4,엽록소,낮에는 뿌리인 발을 땅에 박고 움직이지 않을 때가 많다. 밤에 돌아다니며 씨를 뿌린다.,43;뚜벅쵸;44;냄새꼬;45;라플레시아,https://data1.pokemonkorea.co.kr/newdata/pokedex/full/004301.png
 냄새꼬,풀;독,0.8,잡초,b,8.6,엽록소,입에서 흘러내리는 꿀은 2km 떨어져 있어도 머리가 아플 정도로 심한 악취가 난다.,43;뚜벅쵸;44;냄새꼬;45;라플레시아,https://data1.pokemonkorea.co.kr/newdata/pokedex/full/004401.png
 라플레시아,풀;독,1.2,꽃,b,18.6,엽록소,세계에서 꽃잎이 제일 크다. 심한 알레르기를 일으킬 독 꽃가루를 흩뿌리며 걷는다.,43;뚜벅쵸;44;냄새꼬;45;라플레시아,https://data1.pokemonkorea.co.kr/newdata/pokedex/full/004501.png
 파라스,벌레;풀,0.3,버섯,b,5.4,포자;건조피부,동충하초라고 불리는 버섯을 등에 기르고 있다. 파라스와 함께 크게 자란다.,46;파라스;47;파라섹트,https://data1.pokemonkorea.co.kr/newdata/pokedex/full/004601.png
 파라섹트,벌레;풀,1,버섯,b,29.5,포자;건조피부,몸보다 큰 버섯이 파라섹트를 조종하고 있다. 독 포자를 여기저기 뿌린다.,46;파라스;47;파라섹트,https://data1.pokemonkorea.co.kr/newdata/pokedex/full/004701.png
 콘팡,벌레;독,1,곤충,b,30,복안;색안경,전신에서 독이 스며 나온다. 어두워지면 밝은 곳에 모인 작은 벌레포켓몬을 잡아먹는다.,48;콘팡;49;도나리,https://data1.pokemonkorea.co.kr/newdata/pokedex/full/004801.png
 도나리,벌레;독,1.5,독나방,b,12.5,인분;색안경,날개에 가루가 묻어 있어 팔락팔락 날갯짓을 할 때마다 맹독 가루를 흩뿌린다.,48;콘팡;49;도나리,https://data1.pokemonkorea.co.kr/newdata/pokedex/full/004901.png
 디그다,땅,0.2,두더지,b,0.8,모래숨기;개미지옥,지하 1m 정도를 파고들어 가서 나무뿌리 등을 씹어 먹고 산다. 가끔 지상으로 얼굴을 내민다.,50;디그다;51;닥트리오,https://data1.pokemonkorea.co.kr/newdata/pokedex/full/005001.png
 디그다,땅;강철,0.2,두더지,b,1,모래숨기;컬리헤어,금속 성분이 많이 포함된 지질의 영향으로 강철 수염이 머리에 났다.,50;디그다;51;닥트리오,https://data1.pokemonkorea.co.kr/newdata/pokedex/full/005002.png
 닥트리오,땅,0.7,두더지,b,33.3,모래숨기;개미지옥,3개의 머리가 교차하며 움직이는 것은 주변의 흙을 부드럽게 해 파기 쉽게 하기 위해서다.,50;디그다;51;닥트리오,https://data1.pokemonkorea.co.kr/newdata/pokedex/full/005101.png
 닥트리오,땅;강철,0.7,두더지,b,66.6,모래숨기;컬리헤어,아름다운 금속질의 수염은 헬멧처럼 머리를 보호하는 동시에 고성능 센서이기도 하다.,50;디그다;51;닥트리오,https://data1.pokemonkorea.co.kr/newdata/pokedex/full/005102.png
 나옹,노말,0.4,요괴고양이,b,4.2,픽업;테크니션,낮에는 거의 잠만 잔다. 밤이 되면 눈을 반짝이며 영역을 돌아다닌다.,52;나옹;53;페르시온,https://data1.pokemonkorea.co.kr/newdata/pokedex/full/005201.png
 나옹,악,0.4,요괴고양이,b,4.2,픽업;테크니션,과거 알로라지방의 왕족과 사치스러운 생활을 했기 때문에 먹이의 취향이 상당히 까다롭다.,52;나옹;53;페르시온,https://data1.pokemonkorea.co.kr/newdata/pokedex/full/005202.png
 나옹,강철,0.4,요괴고양이,b,7.5,픽업;단단한발톱,전투적인 해양 민족과 지내는 동안 단련되어 몸 여기저기가 강철로 변화했다.,52;나옹;863;나이킹,https://data1.pokemonkorea.co.kr/newdata/pokedex/full/005203.png
 나옹,노말,33,요괴고양이,b,1.00E+09,픽업;테크니션,이마의 큰 금화에 나타난 무늬는 다이맥스의 비밀을 밝혀낼 열쇠로 여겨지고 있다.,52;나옹;53;페르시온,https://data1.pokemonkorea.co.kr/newdata/pokedex/full/005204.png
 페르시온,노말,1,샴고양이,b,32,유연;테크니션,"털의 결이 아름다워 애완용으로 기르려는 사람이 많지만, 곧잘 할퀴려 들기 때문에 쉽지 않다.",52;나옹;53;페르시온,https://data1.pokemonkorea.co.kr/newdata/pokedex/full/005301.png
 페르시온,악,1.1,샴고양이,b,33,퍼코트;테크니션,알로라지방에서는 둥근 얼굴이 부의 상징으로 여겨져 페르시온을 소중하게 대한다.,52;나옹;53;페르시온,https://data1.pokemonkorea.co.kr/newdata/pokedex/full/005302.png
 고라파덕,물,0.8,오리,b,19.6,습기;날씨부정,항상 두통에 시달리고 있다. 이 두통이 심해지면 이상한 힘을 쓰기 시작한다.,54;고라파덕;55;골덕,https://data1.pokemonkorea.co.kr/newdata/pokedex/full/005401.png
 골덕,물,1.7,오리,b,76.6,습기;날씨부정,물갈퀴가 달린 긴 손발을 써서 전력으로 헤엄치면 왠지 이마에서 빛이 반짝인다.,54;고라파덕;55;골덕,https://data1.pokemonkorea.co.kr/newdata/pokedex/full/005501.png
 망키,격투,0.5,돈숭이,b,28,의기양양;분노의경혈,나무 위에 무리 지어 산다. 무리에서 떨어진 망키는 외로운 나머지 금방 화를 낸다.,56;망키;57;성원숭;979;저승갓숭,https://data1.pokemonkorea.co.kr/newdata/pokedex/full/005601.png
 성원숭,격투,1,돈숭이,b,32,의기양양;분노의경혈,누군가의 시선을 느끼기만 해도 대단히 화를 낸다. 그리고 눈이 마주친 상대를 쫓아다닌다.,56;망키;57;성원숭;979;저승갓숭,https://data1.pokemonkorea.co.kr/newdata/pokedex/full/005701.png
 가디,불꽃,0.7,강아지,b,19,위협;타오르는불꽃,자신보다 강하고 큰 상대라도 겁 없이 맞서는 용감하고 믿음직스런 성격이다.,58;가디;59;윈디,https://data1.pokemonkorea.co.kr/newdata/pokedex/full/005801.png
 가디,불꽃;바위,0.8,망보기,b,22.7,위협;타오르는불꽃,짝을 이루어 영역을 지킨다. 털에 화성암의 성분이 섞여 있는 것은 화산 활동의 영향인 것으로 추측된다.,58;가디;59;윈디,https://data1.pokemonkorea.co.kr/newdata/pokedex/full/005802.png
 윈디,불꽃,1.9,전설,b,155,위협;타오르는불꽃,초원을 내달리는 모습은 사람들의 마음을 사로잡았다고 옛날 그림에 묘사되어 있다.,58;가디;59;윈디,https://data1.pokemonkorea.co.kr/newdata/pokedex/full/005901.png
 윈디,불꽃;바위,2,전설,b,168,위협;타오르는불꽃,활활 타는 불꽃을 이빨에 두르고 문다. 체구가 큼에도 불구하고 화려한 움직임으로 적을 농락하는 모습이 마치 춤추는 것 같다.,58;가디;59;윈디,https://data1.pokemonkorea.co.kr/newdata/pokedex/full/005902.png
 발챙이,물,0.6,올챙이,b,12.4,저수;습기,내장이 들여다보일 정도로 피부가 얇다. 갓 자란 다리로 서툴게 걷는다.,60;발챙이;61;슈륙챙이;62;강챙이,https://data1.pokemonkorea.co.kr/newdata/pokedex/full/006001.png
 슈륙챙이,물,1,올챙이,b,20,저수;습기,배의 소용돌이는 미묘하게 꾸불거리므로 바라보고 있으면 점점 잠이 오게 된다.,60;발챙이;61;슈륙챙이;62;강챙이,https://data1.pokemonkorea.co.kr/newdata/pokedex/full/006101.png
 강챙이,물;격투,1.3,올챙이,b,54,저수;습기,강인한 근육을 가지고 있다. 태평양을 쉬지 않고 계속 헤엄칠 수 있다.,60;발챙이;61;슈륙챙이;62;강챙이,https://data1.pokemonkorea.co.kr/newdata/pokedex/full/006201.png
 캐이시,에스퍼,0.9,초능력,b,19.5,싱크로;정신력,매일 18시간을 잠잔다. 깨어 있을 때도 앉은 채 순간이동으로 이동한다.,63;캐이시;64;윤겔라;65;후딘,https://data1.pokemonkorea.co.kr/newdata/pokedex/full/006301.png
 윤겔라,에스퍼,1.3,초능력,b,56.5,싱크로;정신력,윤겔라가 옆에 있으면 TV에 이상한 그림자가 비친다. 그것을 보면 불행해진다고 전해진다.,63;캐이시;64;윤겔라;65;후딘,https://data1.pokemonkorea.co.kr/newdata/pokedex/full/006401.png
 후딘,에스퍼,1.5,초능력,b,48,싱크로;정신력,태어나서부터 체험한 모든 것을 기억하고 있을 정도의 기억력을 가지고 있다. IQ가 5000이 넘는다.,63;캐이시;64;윤겔라;65;후딘,https://data1.pokemonkorea.co.kr/newdata/pokedex/full/006501.png
 메가후딘,에스퍼,1.2,초능력,b,48,트레이스,메가진화에 의해 모든 힘이 사이코 파워로 변환되었다. 근력조차 잃어버렸다.,63;캐이시;64;윤겔라;65;후딘,https://data1.pokemonkorea.co.kr/newdata/pokedex/full/006502.png
 알통몬,격투,0.8,괴력,b,19.5,근성;노가드,데구리를 수없이 들었다 놨다 하며 전신의 근육을 단련한다. 모든 격투기를 사용한다.,66;알통몬;67;근육몬;68;괴력몬,https://data1.pokemonkorea.co.kr/newdata/pokedex/full/006601.png
 근육몬,격투,1.5,괴력,b,70.5,근성;노가드,근육몬의 끝없는 파워는 매우 위험하므로 힘을 제어하는 벨트를 차고 있다.,66;알통몬;67;근육몬;68;괴력몬,https://data1.pokemonkorea.co.kr/newdata/pokedex/full/006701.png
 괴력몬,격투,1.6,괴력,b,130,근성;노가드,4개의 팔을 눈에 보이지 않을 정도로 빠르게 움직여 2초간 1000발의 펀치를 날린다.,66;알통몬;67;근육몬;68;괴력몬,https://data1.pokemonkorea.co.kr/newdata/pokedex/full/006801.png
 괴력몬,격투,25,괴력,b,1.00E+09,근성;노가드,거다이맥스의 파워가 팔에 넘쳐흘러 폭탄의 파괴력을 가진 펀치를 날린다.,66;알통몬;67;근육몬;68;괴력몬,https://data1.pokemonkorea.co.kr/newdata/pokedex/full/006802.png
 모다피,풀;독,0.7,꽃,b,4,엽록소,고온다습한 땅을 좋아한다. 덩굴을 뻗어서 먹이를 잡을 때의 움직임은 매우 재빠르다.,69;모다피;70;우츠동;71;우츠보트,https://data1.pokemonkorea.co.kr/newdata/pokedex/full/006901.png
 우츠동,풀;독,1,파리잡이,b,6.4,엽록소,식물과 똑 닮은 포켓몬이다. 방심해서 가까이 다가온 먹이에게 독가루를 뿌려서 잡는다.,69;모다피;70;우츠동;71;우츠보트,https://data1.pokemonkorea.co.kr/newdata/pokedex/full/007001.png
 우츠보트,풀;독,1.7,파리잡이,b,15.5,엽록소,꿀 같은 향기의 액체를 입에 모아 두고 있지만 그것은 무엇이든 녹이는 용해액이다.,69;모다피;70;우츠동;71;우츠보트,https://data1.pokemonkorea.co.kr/newdata/pokedex/full/007101.png
 왕눈해,물;독,0.9,해파리,b,45.5,클리어바디;해감액,몸 대부분이 수분이다. 수정 같은 눈에서 이상한 빔을 발사한다.,72;왕눈해;73;독파리,https://data1.pokemonkorea.co.kr/newdata/pokedex/full/007201.png
 독파리,물;독,1.6,해파리,b,55,클리어바디;해감액,80개의 촉수를 가지고 있다. 먹이를 붙잡으면 독으로 인해 약해질 때까지 절대 놓치지 않는다.,72;왕눈해;73;독파리,https://data1.pokemonkorea.co.kr/newdata/pokedex/full/007301.png
 꼬마돌,바위;땅,0.4,암석,b,20,돌머리;옹골참,산길에 많이 서식한다. 몸의 절반을 땅에 묻고 등산하는 사람들의 모습을 바라본다.,74;꼬마돌;75;데구리;76;딱구리,https://data1.pokemonkorea.co.kr/newdata/pokedex/full/007401.png
